                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.47369,                0.46235,                0.31754,                0.80463,                0.99303,                0.98913,                0.99278,                0.88995,                0.98904,                0.98264,                 0.9888,                 0.7756,                0.53909,                0.71341,                0.34352,                0.81629,              0.0096881,              0.0096881,              0.0096881
                     65,                0.48204,                0.47946,                0.31602,                0.80706,                      1,                0.98498,                0.99314,                 0.8935,                0.99603,                0.98611,                0.99003,                 0.7896,                0.53909,                0.72528,                 0.3272,                0.81481,              0.0096832,              0.0096832,              0.0096832
                     66,                0.46574,                 0.4807,                 0.3007,                0.80118,                0.99922,                0.98958,                 0.9949,                0.89398,                0.99571,                0.98611,                0.99018,                0.78523,                0.54003,                0.73905,                0.32368,                0.81499,              0.0096783,              0.0096783,              0.0096783
                     67,                0.47726,                0.47386,                0.31025,                0.79985,                0.99879,                0.98264,                0.99305,                0.89532,                0.99526,                0.97917,                0.98934,                0.78852,                0.53856,                0.75558,                0.33678,                0.81678,              0.0096733,              0.0096733,              0.0096733
                     68,                0.46587,                0.44772,                0.31835,                 0.8038,                0.99941,                0.98611,                0.99096,                0.88503,                0.99587,                0.98264,                0.98929,                0.78416,                 0.5271,                0.70366,                0.32212,                0.81763,              0.0096684,              0.0096684,              0.0096684
                     69,                 0.4688,                 0.4727,                0.30637,                0.80389,                0.99932,                0.98958,                0.99493,                0.88789,                0.99581,                0.98611,                0.99242,                0.79546,                0.53007,                0.71626,                0.31975,                0.81315,              0.0096634,              0.0096634,              0.0096634
                     70,                0.46972,                0.47551,                0.30969,                 0.8041,                0.99648,                0.98215,                0.99192,                0.86719,                0.98591,                0.97173,                0.98386,                0.75601,                0.57064,                0.83336,                0.33802,                0.82308,              0.0096585,              0.0096585,              0.0096585
                     71,                0.47078,                0.48627,                0.31027,                0.80214,                0.99528,                0.97917,                0.99231,                0.87657,                0.98469,                0.96875,                 0.9861,                0.76217,                0.55562,                0.77236,                0.33213,                0.81885,              0.0096535,              0.0096535,              0.0096535
                     72,                0.46701,                0.46946,                 0.3041,                0.80268,                0.99301,                0.98592,                0.99277,                0.89329,                0.98601,                0.97897,                 0.9855,                0.77786,                 0.5297,                0.72204,                0.32945,                0.81358,              0.0096486,              0.0096486,              0.0096486
                     73,                0.46971,                0.47608,                0.31326,                  0.802,                0.99944,                0.98958,                 0.9949,                0.89861,                0.99593,                0.98611,                0.99087,                0.79867,                0.52618,                0.69292,                0.32934,                0.81178,              0.0096436,              0.0096436,              0.0096436
                     74,                0.48379,                0.48002,                0.32873,                0.80491,                0.98928,                0.98958,                0.99401,                0.89474,                0.98581,                0.98611,                0.99028,                0.79628,                0.51282,                0.74227,                0.32043,                0.81055,              0.0096387,              0.0096387,              0.0096387
                     75,                0.45773,                0.46322,                0.31134,                0.80511,                0.99516,                0.98264,                0.99469,                0.89487,                0.99516,                0.98264,                0.99292,                0.79944,                0.52223,                0.75368,                0.31727,                0.81434,              0.0096337,              0.0096337,              0.0096337
                     76,                0.49286,                 0.4839,                0.31031,                0.80578,                0.99537,                0.97917,                0.98966,                0.88631,                0.99646,                0.97767,                0.98939,                0.77325,                 0.5272,                0.81648,                0.33161,                 0.8186,              0.0096288,              0.0096288,              0.0096288
                     77,                0.47376,                0.48415,                 0.3044,                0.80654,                      1,                0.98859,                0.99463,                0.88906,                0.99649,                0.98512,                0.99076,                0.79517,                0.52877,                0.70323,                0.32023,                0.81397,              0.0096238,              0.0096238,              0.0096238
                     78,                0.45963,                0.44996,                0.30143,                0.80124,                      1,                0.99134,                  0.995,                0.88768,                  0.993,                0.98477,                0.98997,                0.78531,                0.52351,                0.75531,                0.32947,                0.81605,              0.0096188,              0.0096188,              0.0096188
                     79,                0.47359,                0.47193,                0.31855,                 0.8036,                0.99608,                0.99306,                  0.995,                0.89693,                0.99254,                0.98958,                0.99228,                0.79753,                0.49988,                0.64897,                0.32885,                0.81155,              0.0096139,              0.0096139,              0.0096139
                     80,                0.46901,                0.49101,                0.30171,                0.80673,                0.99651,                0.99259,                0.99497,                0.89962,                0.99303,                0.98912,                0.99472,                0.79083,                0.51254,                0.65612,                0.31543,                0.81157,               0.009609,               0.009609,               0.009609
                     81,                 0.4711,                0.47011,                0.30769,                0.80392,                 0.9965,                0.98908,                0.99419,                0.89853,                0.98951,                0.98217,                0.98965,                0.79722,                0.50293,                0.62083,                0.30951,                0.80789,               0.009604,               0.009604,               0.009604
                     82,                0.46017,                0.45189,                0.30267,                0.79968,                 0.9964,                0.99306,                0.99497,                0.90266,                0.99276,                0.99306,                0.99486,                0.79644,                0.49749,                0.63633,                0.32115,                0.80493,               0.009599,               0.009599,               0.009599
                     83,                0.46792,                0.46602,                0.31039,                0.80274,                0.99891,                0.98611,                0.99466,                0.89448,                 0.9925,                0.99306,                 0.9949,                0.79507,                0.51051,                 0.6955,                0.31386,                0.81166,              0.0095941,              0.0095941,              0.0095941
                     84,                0.47161,                0.46822,                0.32255,                0.80045,                 0.9964,                0.98958,                0.99476,                0.89626,                0.98954,                0.98591,                0.99459,                0.79699,                 0.5075,                0.64142,                0.32129,                0.81001,              0.0095892,              0.0095892,              0.0095892
                     85,                0.46355,                0.46861,                0.31493,                0.80491,                0.99648,                0.98212,                0.99265,                0.89515,                0.99648,                0.98212,                0.99265,                0.79005,                0.51791,                0.70876,                0.31475,                0.81656,              0.0095842,              0.0095842,              0.0095842
                     86,                0.46891,                0.46341,                0.30295,                0.80489,                0.99935,                0.98264,                0.99479,                0.89828,                0.99541,                0.98611,                0.99074,                0.79049,                0.51569,                0.76529,                0.31367,                0.81037,              0.0095793,              0.0095793,              0.0095793
                     87,                0.46629,                 0.4736,                0.30491,                0.80403,                0.99727,                0.98958,                0.99264,                0.89563,                0.99377,                0.98611,                0.99064,                0.78753,                0.53145,                0.75422,                0.32066,                0.81189,              0.0095743,              0.0095743,              0.0095743
                     88,                0.46049,                0.48393,                0.29599,                0.80156,                0.98911,                0.99306,                0.99486,                0.89857,                  0.993,                0.98555,                0.99272,                0.79074,                0.52884,                0.73858,                0.32186,                0.80635,              0.0095694,              0.0095694,              0.0095694
                     89,                0.47132,                0.46861,                0.30917,                0.80183,                0.99514,                0.98264,                0.99113,                0.90092,                0.99162,                0.97917,                 0.9894,                 0.8015,                 0.5188,                0.67115,                 0.3401,                0.80761,              0.0095644,              0.0095644,              0.0095644
                     90,                0.45842,                0.48073,                0.30232,                0.80192,                0.99585,                0.98958,                0.99313,                0.90801,                0.99585,                0.98958,                0.99313,                0.79979,                0.50022,                0.64823,                0.30499,                0.80951,              0.0095595,              0.0095595,              0.0095595
                     91,                0.47002,                0.46852,                0.30913,                0.80245,                0.99948,                0.98958,                0.99493,                0.90956,                0.99948,                0.98958,                0.99483,                0.80914,                0.50512,                0.63937,                0.32134,                0.80662,              0.0095545,              0.0095545,              0.0095545
                     92,                0.44823,                0.44887,                0.30345,                0.80282,                 0.9959,                0.99306,                0.99497,                0.90858,                  0.993,                0.98547,                0.99469,                0.79713,                0.50044,                0.67848,                0.32065,                0.80775,              0.0095496,              0.0095496,              0.0095496
                     93,                0.47804,                0.47337,                0.31128,                0.80418,                      1,                0.98921,                0.99497,                0.90745,                0.99944,                0.98611,                0.99293,                0.80321,                 0.5019,                0.70395,                0.32474,                0.80617,              0.0095446,              0.0095446,              0.0095446
                     94,                0.46838,                0.45878,                0.31543,                0.80183,                 0.9994,                0.98958,                0.99497,                0.90509,                 0.9994,                0.98958,                0.99497,                0.80217,                0.50566,                0.66343,                0.32396,                 0.8066,              0.0095397,              0.0095397,              0.0095397
                     95,                0.45317,                0.44806,                0.30974,                0.80187,                0.99796,                0.99306,                  0.995,                0.89734,                0.99441,                0.98958,                0.99316,                 0.7935,                0.51178,                0.70055,                0.31468,                   0.81,              0.0095347,              0.0095347,              0.0095347
                     96,                0.45737,                0.46459,                0.29658,                0.79883,                0.99892,                0.98958,                0.99466,                0.90001,                0.99542,                0.98611,                0.99249,                0.79879,                0.51273,                0.72674,                0.31302,                0.80881,              0.0095298,              0.0095298,              0.0095298
                     97,                0.47277,                0.47357,                0.30282,                0.80341,                0.99929,                0.98958,                0.99476,                0.90991,                0.99578,                0.98611,                0.99029,                0.79936,                 0.5165,                0.69237,                0.31129,                0.80632,              0.0095248,              0.0095248,              0.0095248
                     98,                0.46245,                0.47076,                0.30845,                0.80032,                 0.9965,                0.98956,                0.99493,                0.88733,                 0.9965,                0.98783,                0.99271,                0.79757,                0.56456,                0.73096,                0.32181,                0.81158,              0.0095198,              0.0095198,              0.0095198
                     99,                0.45661,                0.45826,                    0.3,                0.80141,                 0.9965,                 0.9887,                0.99483,                0.90775,                  0.993,                0.98523,                0.99003,                0.80544,                0.51603,                0.66809,                0.30998,                0.80565,              0.0095149,              0.0095149,              0.0095149
                    100,                0.45201,                0.46371,                0.29084,                0.79998,                0.99996,                0.98611,                0.99476,                0.90371,                0.99644,                0.98264,                0.99248,                0.80731,                0.50977,                 0.6922,                0.30288,                0.80802,                0.00951,                0.00951,                0.00951
                    101,                0.45015,                0.44912,                0.30124,                0.80426,                0.99653,                0.99592,                0.99497,                 0.9156,                      1,                 0.9891,                0.99497,                0.80732,                0.48836,                 0.6268,                0.30915,                0.80709,               0.009505,               0.009505,               0.009505
                    102,                0.45721,                0.47197,                0.30294,                0.80148,                0.99926,                0.98264,                0.99342,                0.90155,                0.99926,                0.98264,                0.99342,                0.78783,                0.50547,                0.67381,                0.31237,                0.81057,                 0.0095,                 0.0095,                 0.0095
                    103,                0.46914,                0.49857,                0.29509,                0.80012,                      1,                0.98917,                0.99497,                0.90844,                0.99957,                0.98611,                0.99479,                0.81218,                0.50417,                0.70934,                0.29753,                0.80618,              0.0094951,              0.0094951,              0.0094951
                    104,                 0.4525,                0.45267,                0.29367,                0.80066,                      1,                0.99244,                  0.995,                0.90421,                0.99606,                0.98611,                0.99109,                0.79585,                0.50792,                0.70473,                0.31358,                0.80649,              0.0094902,              0.0094902,              0.0094902
                    105,                0.45506,                0.46464,                0.29619,                0.79847,                 0.9959,                0.99306,                0.99497,                 0.8986,                0.99298,                0.98168,                0.98941,                0.78632,                0.51712,                0.74231,                0.30507,                 0.8079,              0.0094852,              0.0094852,              0.0094852
                    106,                0.46391,                0.47281,                0.29524,                0.80035,                0.99994,                0.98264,                0.99463,                0.90608,                0.99637,                0.97917,                0.98928,                0.79349,                 0.5009,                0.80091,                0.30793,                0.80804,              0.0094803,              0.0094803,              0.0094803
                    107,                0.45459,                0.46088,                0.30529,                0.79991,                0.99972,                0.98958,                0.99497,                0.89816,                0.99621,                0.98611,                0.99221,                0.78158,                0.50399,                0.74082,                0.31025,                0.81065,              0.0094753,              0.0094753,              0.0094753
