                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.49459,                0.53159,                0.34226,                 0.8085,                0.99651,                0.99205,                0.99497,                0.87909,                      1,                 0.9851,                 0.9942,                0.79045,                0.45931,                0.56378,                0.32472,                0.81451,              0.0009704,              0.0009704,              0.0009704
                     54,                0.50346,                0.52864,                0.34768,                0.80306,                 0.9965,                 0.9894,                 0.9949,                0.89243,                0.99301,                0.98593,                0.99255,                0.80794,                0.43836,                0.56116,                 0.3204,                0.81305,              0.0009506,              0.0009506,              0.0009506
                     55,                 0.5036,                 0.5313,                0.34345,                0.80341,                      1,                0.98218,                0.99423,                0.88551,                0.99293,                0.97523,                0.98736,                 0.7921,                0.42659,                0.52279,                0.32183,                0.81159,              0.0009308,              0.0009308,              0.0009308
                     56,                0.49892,                0.54369,                0.33582,                0.80529,                0.99904,                0.98958,                 0.9949,                0.89364,                0.99228,                0.98264,                 0.9916,                0.80481,                0.42137,                 0.5234,                0.31432,                0.80926,               0.000911,               0.000911,               0.000911
                     57,                0.49585,                0.54798,                0.33473,                0.80407,                0.99811,                0.98958,                0.99486,                0.87728,                0.99107,                0.98264,                0.99256,                0.79678,                0.48197,                0.59549,                0.31752,                 0.8193,              0.0008912,              0.0008912,              0.0008912
                     58,                0.50449,                0.53695,                0.33774,                0.80479,                0.99905,                0.98958,                 0.9949,                0.88897,                0.99202,                0.98264,                0.99146,                0.78746,                0.45429,                 0.5402,                0.29941,                0.81711,              0.0008714,              0.0008714,              0.0008714
                     59,                0.49768,                0.53515,                0.33376,                0.80418,                0.99911,                0.98611,                 0.9949,                0.88976,                0.99271,                0.97917,                0.99165,                0.79798,                0.41139,                0.54713,                0.30028,                0.80999,              0.0008516,              0.0008516,              0.0008516
                     60,                0.49637,                 0.5357,                0.33307,                0.80352,                0.99651,                0.99268,                0.99497,                0.88141,                0.99646,                 0.9782,                0.99359,                0.78374,                0.43115,                0.55524,                  0.308,                0.81051,              0.0008318,              0.0008318,              0.0008318
                     61,                0.49027,                0.53904,                0.32966,                0.80043,                 0.9924,                0.98958,                0.99473,                0.88579,                      1,                0.98261,                 0.9946,                0.79011,                0.42905,                0.61303,                0.29993,                0.81123,               0.000812,               0.000812,               0.000812
                     62,                0.47399,                0.51087,                0.32432,                0.80047,                0.99597,                0.98958,                0.99493,                0.89562,                0.99882,                0.98611,                0.99479,                0.79418,                0.42516,                0.59693,                0.30155,                 0.8097,              0.0007922,              0.0007922,              0.0007922
                     63,                0.46731,                0.51513,                0.32046,                0.79972,                0.99998,                0.99306,                  0.995,                0.89798,                0.99279,                0.98264,                0.98921,                0.78818,                0.43068,                0.56415,                 0.3024,                0.81509,              0.0007724,              0.0007724,              0.0007724
                     64,                0.49081,                0.53582,                0.32747,                0.80263,                0.99958,                0.98611,                0.99493,                0.89702,                0.99606,                0.98264,                0.99416,                0.79978,                0.42143,                0.50196,                 0.3059,                0.81401,              0.0007526,              0.0007526,              0.0007526
